Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
IUSS,Invesco RAFI Strategic US Small Company ETF,20.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iuss
USLB,Invesco Russell 1000 Low Beta Equal Weight ETF,30.6688,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/uslb
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,53.6597,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pscd
PSCC,Invesco S&P SmallCap Consumer Staples ETF,70.4817,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pscc
PSCE,Invesco S&P SmallCap Energy ETF,3.97,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psce
PSCF,Invesco S&P SmallCap Financials ETF,39.635,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pscf
PSCH,Invesco S&P SmallCap Health Care ETF,112.88,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psch
PSCI,Invesco S&P SmallCap Industrials ETF,55.95,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psci
PSCT,Invesco S&P SmallCap Information Technology ETF,83,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psct
PSCM,Invesco S&P SmallCap Materials ETF,37.14,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pscm
PSCU,Invesco S&P SmallCap Utilities & Communication Services ETF,48.3657,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pscu
VRIG,Invesco Variable Rate Investment Grade ETF,24.59,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vrig
PHO,Invesco Water Resources ETF,35.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pho
ISTR,Investar Holding Corporation,14.25,$155.88M,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/istr
CMFNL,"Investcorp Credit Management BDC, Inc.",21.94,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmfnl
ICMB,"Investcorp Credit Management BDC, Inc.",4.09,$56.79M,2014,n/a,n/a,https://old.nasdaq.com/symbol/icmb
ISBC,"Investors Bancorp, Inc.",8.57,$2.14B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/isbc
ITIC,Investors Title Company,123.47,$233.5M,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/itic
NVIV,InVivo Therapeutics Holdings Corp.,1.6999,$8.24M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nviv
IONS,"Ionis Pharmaceuticals, Inc.",58.37,$8.13B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ions
IOVA,"Iovance Biotherapeutics, Inc.",29.51,$4.32B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/iova
IPGP,IPG Photonics Corporation,156.14,$8.28B,2006,Technology,Semiconductors,https://old.nasdaq.com/symbol/ipgp
CLRG,IQ Chaikin U.S. Large Cap ETF,23.14,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clrg
CSML,IQ Chaikin U.S. Small Cap ETF,21.2362,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/csml
IQ,"iQIYI, Inc.",17.8,$13.06B,2018,Consumer Services,Consumer Electronics/Video Chains,https://old.nasdaq.com/symbol/iq
IRMD,iRadimed Corporation,22.88,$275.7M,2014,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/irmd
IRTC,"iRhythm Technologies, Inc.",111.13,$3B,2016,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/irtc
IRIX,IRIDEX Corporation,2.07,$28.54M,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/irix
IRDM,Iridium Communications Inc,25.69,$3.4B,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/irdm
IRBT,iRobot Corporation,75.2,$2.1B,2005,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/irbt
IRWD,"Ironwood Pharmaceuticals, Inc.",9.14,$1.46B,2010,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/irwd
IRCP,IRSA Propiedades Comerciales S.A.,6.14,$193.43M,n/a,Consumer Services,Building operators,https://old.nasdaq.com/symbol/ircp
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,51.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/slqd
ISHG,iShares 1-3 Year International Treasury Bond ETF,79.1463,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ishg
SHY,iShares 1-3 Year Treasury Bond ETF,86.55,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/shy
TLT,iShares 20+ Year Treasury Bond ETF,162.3,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/tlt
IEI,iShares 3-7 Year Treasury Bond ETF,133.35,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iei
IEF,iShares 7-10 Year Treasury Bond ETF,121.39,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ief
AIA,iShares Asia 50 ETF,63.66,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aia
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,59.51,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/usig
COMT,iShares Commodities Select Strategy ETF,23.405,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/comt
ISTB,iShares Core 1-5 Year USD Bond ETF,51.33,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/istb
IXUS,iShares Core MSCI Total International Stock ETF,54.58,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ixus
IUSG,iShares Core S&P U.S. Growth ETF,69.56,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iusg
IUSV,iShares Core S&P U.S. Value ETF,52.67,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iusv
IUSB,iShares Core Total USD Bond Market ETF,54.05,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iusb
HEWG,iShares Currency Hedged MSCI Germany ETF,26.55,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hewg
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,25.79,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/susb
ESGD,iShares ESG MSCI EAFE ETF,60.78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/esgd
ESGE,iShares ESG MSCI EM ETF,31.87,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/esge
LDEM,iShares ESG MSCI EM Leaders ETF,48.12,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ldem
ESGU,iShares ESG MSCI USA ETF,68.58,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/esgu
SUSL,iShares ESG MSCI USA Leaders ETF,53.0603,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/susl
SUSC,iShares ESG USD Corporate Bond ETF,27.2126,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/susc
XT,iShares Exponential Technologies ETF,43.084,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/xt
FALN,iShares Fallen Angels USD Bond ETF,26.2,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/faln
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,33.3103,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ifeu
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,24.08,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ifgl
BGRN,iShares Global Green Bond ETF,54.44,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bgrn
IGF,iShares Global Infrastructure ETF,39.16,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/igf
GNMA,iShares GNMA Bond ETF,51.49,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/gnma
IBTA,iShares iBonds Dec 2021 Term Treasury ETF,25.36,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibta
IBTB,iShares iBonds Dec 2022 Term Treasury ETF,25.585,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibtb
IBTD,iShares iBonds Dec 2023 Term Treasury ETF,25.725,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibtd
IBTE,iShares iBonds Dec 2024 Term Treasury ETF,25.955,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibte
IBTF,iShares iBonds Dec 2025 Term Treasury ETF,26.12,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibtf
IBTG,iShares iBonds Dec 2026 Term Treasury ETF,26.205,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibtg
IBTH,iShares iBonds Dec 2027 Term Treasury ETF,26.3003,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibth
IBTI,iShares iBonds Dec 2028 Term Treasury ETF,26.485,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibti
