Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SONA,"Southern National Bancorp of Virginia, Inc.",9.57,$232.53M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/sona
SBSI,"Southside Bancshares, Inc.",27.57,$910.13M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/sbsi
SY,So-Young International Inc.,9.76,$1.04B,2019,Technology,EDP Services,https://old.nasdaq.com/symbol/sy
SP,SP Plus Corporation,21.58,$496.28M,n/a,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/sp
SGRP,"SPAR Group, Inc.",0.8499,$17.85M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/sgrp
SPKE,"Spark Energy, Inc.",7.56,$266.94M,2014,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/spke
SPKEP,"Spark Energy, Inc.",21.7481,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/spkep
SPTN,SpartanNash Company,18.52,$660.81M,n/a,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/sptn
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,22.84,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwfi
SPPI,"Spectrum Pharmaceuticals, Inc.",2.81,$327.28M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sppi
SPRO,"Spero Therapeutics, Inc.",11.95,$246.11M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/spro
ANY,Sphere 3D Corp.,2.34,$10.94M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/any
SPI,"SPI Energy Co., Ltd.",0.9301,$13.59M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/spi
SAVE,"Spirit Airlines, Inc.",18.82,$1.67B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/save
STXB,"Spirit of Texas Bancshares, Inc.",12.06,$212.41M,2018,Finance,Major Banks,https://old.nasdaq.com/symbol/stxb
SPLK,Splunk Inc.,178.88,$28.42B,2012,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/splk
SPOK,"Spok Holdings, Inc.",9.78,$185.87M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/spok
SPWH,"Sportsman&#39;s Warehouse Holdings, Inc.",11.25,$488.87M,2014,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/spwh
SBPH,"Spring Bank Pharmaceuticals, Inc.",1.5799,$27.01M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sbph
SWTX,"SpringWorks Therapeutics, Inc.",42.96,$1.85B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/swtx
FUND,"Sprott Focus Trust, Inc.",5.81,$167.6M,n/a,Consumer Services,Miscellaneous,https://old.nasdaq.com/symbol/fund
SPT,"Sprout Social, Inc",26.5,$1.33B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/spt
SFM,"Sprouts Farmers Market, Inc.",23.01,$2.71B,2013,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/sfm
SPSC,"SPS Commerce, Inc.",67.69,$2.36B,2010,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/spsc
SRAX,"SRAX, Inc.",1.94,$27.23M,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/srax
SSNC,"SS&C Technologies Holdings, Inc.",56.65,$14.54B,2010,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ssnc
SSRM,SSR Mining Inc.,18.53,$2.29B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ssrm
STAA,STAAR Surgical Company,42.73,$1.94B,n/a,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/staa
SRAC,Stable Road Acquisition Corp.,9.8,$216.65M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/srac
SRACU,Stable Road Acquisition Corp.,9.9,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/sracu
SRACW,Stable Road Acquisition Corp.,0.498,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/sracw
STAF,"Staffing 360 Solutions, Inc.",0.93,$8.66M,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/staf
STMP,Stamps.com Inc.,170.78,$2.92B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/stmp
STND,Standard AVB Financial Corp.,24.6,$114.63M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/stnd
SBLK,Star Bulk Carriers Corp.,6.45,$619.64M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sblk
SBLKZ,Star Bulk Carriers Corp.,23.76,n/a,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sblkz
SBUX,Starbucks Corporation,76.38,$89.23B,1992,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/sbux
STFC,State Auto Financial Corporation,17.97,$786.57M,1991,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/stfc
MITO,Stealth BioTherapeutics Corp.,1.925,$94.58M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mito
GASS,"StealthGas, Inc.",2.69,$105.51M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/gass
