Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
VISL,"Vislink Technologies, Inc.",0.8296,$73.23M,2013,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/visl,
VTGN,"VistaGen Therapeutics, Inc.",0.5374,$26.84M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vtgn,
VC,Visteon Corporation,72,$2B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/vc,
VIVE,"Viveve Medical, Inc.",0.639,$9.64M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/vive,
VVPR,VivoPower International PLC,1.16,$15.73M,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/vvpr,
VVUS,"VIVUS, Inc.",1.16,$20.73M,1994,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vvus,
VOD,Vodafone Group Plc,15.96,$42.73B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/vod,
VG,Vonage Holdings Corp.,9.575,$2.35B,2006,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/vg,
VOXX,VOXX International Corporation,5.34,$127.99M,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/voxx,
VYGR,"Voyager Therapeutics, Inc.",12.13,$451.12M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/vygr,
VRM,"Vroom, Inc.",43.03,$4.96B,2020,n/a,n/a,https://old.nasdaq.com/symbol/vrm,
VSEC,VSE Corporation,27.36,$302.14M,n/a,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/vsec,
VTVT,vTv Therapeutics Inc.,2.7562,$188.49M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/vtvt,
VUZI,Vuzix Corporation,2.21,$86.87M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/vuzi,
WAFU,Wah Fu Education Group Limited,5.44,$23.83M,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/wafu,
HLAL,Wahed FTSE USA Shariah ETF,26,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hlal,
WTRH,Waitr Holdings Inc.,2.35,$234.87M,2016,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/wtrh,
WBA,"Walgreens Boots Alliance, Inc.",41.4,$36.32B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/wba,
WSG,Wanda Sports Group Company Limited,2.61,$360.02M,2019,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wsg,
WMG,Warner Music Group Corp.,30.77,$15.69B,2020,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wmg,
WAFD,"Washington Federal, Inc.",26.185,$1.98B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wafd,
WASH,"Washington Trust Bancorp, Inc.",31.69,$546.92M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wash,
WSBF,"Waterstone Financial, Inc.",14.615,$378.75M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/wsbf,
WTRE,Watford Holdings Ltd.,15.71,$312.42M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/wtre,
WTREP,Watford Holdings Ltd.,25.09,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/wtrep,
WVE,WAVE Life Sciences Ltd.,9.63,$336.02M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/wve,
WNFM,"Wayne Farms, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/wnfm,
WSTG,"Wayside Technology Group, Inc.",23.65,$102.91M,n/a,Technology,Retail: Computer Software & Peripheral Equipment,https://old.nasdaq.com/symbol/wstg,
WDFC,WD-40 Company,189.89,$2.6B,1973,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/wdfc,
WB,Weibo Corporation,32.47,$7.35B,2014,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wb,
WEN,Wendy&#39,s Company (The),21.74,$4.84B,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/wen
WERN,"Werner Enterprises, Inc.",39.87,$2.75B,1986,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/wern,
WSBC,"WesBanco, Inc.",20.82,$1.4B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wsbc,
WTBA,West Bancorporation,17.34,$285.2M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wtba,
WABC,Westamerica Bancorporation,54.65,$1.47B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wabc,
WSTL,"Westell Technologies, Inc.",0.7858,$12.34M,1995,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/wstl,
WINC,Western Asset Short Duration Income ETF,24.7001,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/winc,
WBND,Western Asset Total Return ETF,27.935,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/wbnd,
WDC,Western Digital Corporation,42.95,$12.87B,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/wdc,
WNEB,"Western New England Bancorp, Inc.",5.66,$145.15M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/wneb,
WPRT,Westport Fuel Systems Inc,1.28,$174.84M,n/a,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/wprt,
WWR,"Westwater Resources, Inc.",2.03,$11.62M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/wwr,
WEYS,"Weyco Group, Inc.",20.44,$200.59M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/weys,
WHLR,"Wheeler Real Estate Investment Trust, Inc.",1.8,$17.45M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/whlr,
WHLRD,"Wheeler Real Estate Investment Trust, Inc.",10.51,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/whlrd,
WHLRP,"Wheeler Real Estate Investment Trust, Inc.",7.45,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/whlrp,
WHF,"WhiteHorse Finance, Inc.",10.97,$225.39M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/whf,
WHFBZ,"WhiteHorse Finance, Inc.",24.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/whfbz,
WHLM,"Wilhelmina International, Inc.",3.58,$18.46M,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/whlm,
WVVI,"Willamette Valley Vineyards, Inc.",6.17,$30.63M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/wvvi,
WVVIP,"Willamette Valley Vineyards, Inc.",4.85,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/wvvip,
WLDN,"Willdan Group, Inc.",23.74,$276.57M,2006,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/wldn,
WLFC,Willis Lease Finance Corporation,26.01,$156.66M,1996,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/wlfc,
WLTW,Willis Towers Watson Public Limited Company,186.77,$24.04B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/wltw,
WSC,WillScot Corporation,14.54,$1.72B,2015,n/a,n/a,https://old.nasdaq.com/symbol/wsc,
WIMI,WiMi Hologram Cloud Inc.,3.52,$207.88M,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/wimi,
WINT,"Windtree Therapeutics, Inc.",6.78,$92.87M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/wint,
WING,Wingstop Inc.,117.38,$3.47B,2015,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/wing,
WINA,Winmark Corporation,156.4,$571.65M,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/wina,
WINS,Wins Finance Holdings Inc.,35.99,$713.96M,2014,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/wins,
WTFC,Wintrust Financial Corporation,45.77,$2.63B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wtfc,
WTFCM,Wintrust Financial Corporation,24,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wtfcm,
WTFCP,Wintrust Financial Corporation,25.62,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wtfcp,
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,91.5553,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cxse,
WCLD,WisdomTree Cloud Computing Fund,34.71,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/wcld,
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,70.93,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/emcb,
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,22.825,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dgre,
DXGE,WisdomTree Germany Hedged Equity Fund,27.9968,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dxge,
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,20.38,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hyzd,
