Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
FEUZ,First Trust Eurozone AlphaDEX ETF,33.7978,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/feuz
FGM,First Trust Germany AlphaDEX Fund,39.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fgm
FTGC,First Trust Global Tactical Commodity Strategy Fund,15.29,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftgc
FTLB,First Trust Hedged BuyWrite Income ETF,19.8474,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftlb
HYLS,First Trust High Yield Long/Short ETF,46.51,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hyls
FHK,First Trust Hong Kong AlphaDEX Fund,30.83,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fhk
NFTY,First Trust India Nifty 50 Equal Weight ETF,27.67,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nfty
FTAG,First Trust Indxx Global Agriculture ETF,19.56,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftag
FTRI,First Trust Indxx Global Natural Resources Income ETF,9.8912,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftri
LEGR,First Trust Indxx Innovative Transaction & Process ETF,29.3107,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/legr
NXTG,First Trust Indxx NextG ETF,53.7755,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nxtg
FPXI,First Trust International Equity Opportunities ETF,47.3888,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fpxi
FPXE,First Trust IPOX Europe Equity Opportunities ETF,22.3453,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fpxe
FJP,First Trust Japan AlphaDEX Fund,47.1165,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fjp
FEX,First Trust Large Cap Core AlphaDEX Fund,59.1522,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fex
FTC,First Trust Large Cap Growth AlphaDEX Fund,73.2825,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftc
RNLC,First Trust Large Cap US Equity Select ETF,22.505,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rnlc
FTA,First Trust Large Cap Value AlphaDEX Fund,46.8166,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fta
FLN,First Trust Latin America AlphaDEX Fund,15.08,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fln
LMBS,First Trust Low Duration Opportunities ETF,51.82,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lmbs
LDSF,First Trust Low Duration Strategic Focus ETF,20.31,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ldsf
FMB,First Trust Managed Municipal ETF,54.8787,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fmb
FMK,First Trust Mega Cap AlphaDEX Fund,34.4974,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fmk
FNX,First Trust Mid Cap Core AlphaDEX Fund,62.0186,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fnx
FNY,First Trust Mid Cap Growth AlphaDEX Fund,45.59,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fny
RNMC,First Trust Mid Cap US Equity Select ETF,19.2128,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rnmc
FNK,First Trust Mid Cap Value AlphaDEX Fund,28.3861,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fnk
FAD,First Trust Multi Cap Growth AlphaDEX Fund,74.274,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fad
FAB,First Trust Multi Cap Value AlphaDEX Fund,47.4964,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fab
MDIV,First Trust Multi-Asset Diversified Income Index Fund,14.2774,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mdiv
MCEF,First Trust Municipal CEF Income Opportunity ETF,18.4701,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mcef
FMHI,First Trust Municipal High Income ETF,50.33,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fmhi
QABA,First Trust NASDAQ ABA Community Bank Index Fund,35.3522,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/qaba
ROBT,First Trust Nasdaq Artificial Intelligence and Robotics ETF,34.4508,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/robt
FTXO,First Trust Nasdaq Bank ETF,18.76,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftxo
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,28.44,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/qcln
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,53.5958,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/grid
CIBR,First Trust NASDAQ Cybersecurity ETF,31.81,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cibr
FTXG,First Trust Nasdaq Food & Beverage ETF,19,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftxg
CARZ,First Trust NASDAQ Global Auto Index Fund,31.6019,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/carz
FTXN,First Trust Nasdaq Oil & Gas ETF,11.8613,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftxn
FTXH,First Trust Nasdaq Pharmaceuticals ETF,21.73,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftxh
FTXD,First Trust Nasdaq Retail ETF,22.8391,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftxd
FTXL,First Trust Nasdaq Semiconductor ETF,41.495,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftxl
TDIV,First Trust NASDAQ Technology Dividend Index Fund,40.69,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/tdiv
FTXR,First Trust Nasdaq Transportation ETF,19.3856,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftxr
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,76.83,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/qqew
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,60.9479,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/qqxt
QTEC,First Trust NASDAQ-100- Technology Index Fund,103.99,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/qtec
AIRR,First Trust RBA American Industrial Renaissance ETF,23.025,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/airr
RDVY,First Trust Rising Dividend Achievers ETF,30.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rdvy
RFAP,First Trust RiverFront Dynamic Asia Pacific ETF,47.1331,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rfap
RFDI,First Trust RiverFront Dynamic Developed International ETF,53.0296,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rfdi
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,55.3,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rfem
RFEU,First Trust RiverFront Dynamic Europe ETF,54.05,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rfeu
FID,First Trust S&P International Dividend Aristocrats ETF,14.3743,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fid
FTSL,First Trust Senior Loan Fund ETF,45.87,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ftsl
FYX,First Trust Small Cap Core AlphaDEX Fund,54.18,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fyx
FYC,First Trust Small Cap Growth AlphaDEX Fund,40.285,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fyc
RNSC,First Trust Small Cap US Equity Select ETF,17.8089,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rnsc
FYT,First Trust Small Cap Value AlphaDEX Fund,31.4206,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fyt
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,17.4452,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/sdvy
FKO,First Trust South Korea AlphaDEX Fund,17.905,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fko
FCVT,First Trust SSI Strategic Convertible Securities ETF,34.2,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fcvt
FDIV,First Trust Strategic Income ETF,45.4364,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fdiv
FSZ,First Trust Switzerland AlphaDEX Fund,47.91,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fsz
FIXD,First Trust TCW Opportunistic Fixed Income ETF,54.64,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fixd
TUSA,First Trust Total US Market AlphaDEX ETF,30.297,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/tusa
FKU,First Trust United Kingdom AlphaDEX Fund,29.6889,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fku
RNDV,First Trust US Equity Dividend Select ETF,20.8069,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rndv
FUNC,First United Corporation,14.32,$99.77M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/func
FUSB,"First US Bancshares, Inc.",7.06,$43.37M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fusb
MYFW,"First Western Financial, Inc.",12.89,$102.06M,2018,Finance,Major Banks,https://old.nasdaq.com/symbol/myfw
FCFS,"FirstCash, Inc.",72.3,$3B,1991,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/fcfs
SVVC,"Firsthand Technology Value Fund, Inc.",3.57,$24.61M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/svvc
FSV,FirstService Corporation,98.67,$4.28B,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/fsv
