Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
IMVTU,"Immunovant, Inc. ",30.277,n/a,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/imvtu,
IMVTW,"Immunovant, Inc. ",6.01,$339.3M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/imvtw,
IMRN,Immuron Limited,8.58,$38.01M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/imrn,
IMRNW,Immuron Limited,1.42,n/a,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/imrnw,
IMMP,Immutep Limited,1.14,$44.32M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/immp,
PI,"Impinj, Inc.",26.64,$604.12M,2016,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/pi,
IMV,IMV Inc.,2.75,$168.22M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/imv,
NARI,"Inari Medical, Inc.",49.19,$2.37B,2020,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nari,
INCY,Incyte Corporation,92.07,$20.01B,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/incy,
INDB,Independent Bank Corp.,65.775,$2.17B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/indb,
IBCP,Independent Bank Corporation,14.07,$308.01M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ibcp,
IBTX,"Independent Bank Group, Inc",38.96,$1.68B,2013,Finance,Major Banks,https://old.nasdaq.com/symbol/ibtx,
ILPT,Industrial Logistics Properties Trust,19.95,$1.3B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ilpt,
INFN,Infinera Corporation,5.12,$956.91M,2007,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/infn,
INFI,"Infinity Pharmaceuticals, Inc.",0.8839,$50.77M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/infi,
IFRX,InflaRx N.V.,6.7,$174.91M,2017,n/a,n/a,https://old.nasdaq.com/symbol/ifrx,
III,"Information Services Group, Inc.",2.02,$96.18M,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/iii,
IEA,"Infrastructure and Energy Alternatives, Inc.",2.23,$50.19M,2016,Finance,Business Services,https://old.nasdaq.com/symbol/iea,
IEAWW,"Infrastructure and Energy Alternatives, Inc.",0.0431,n/a,2016,Finance,Business Services,https://old.nasdaq.com/symbol/ieaww,
IMKTA,"Ingles Markets, Incorporated",40.69,$824.37M,1987,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/imkta,
INMD,INMODE LTD.,29.79,$977.08M,2019,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/inmd,
INMB,INmune Bio Inc.,5.21,$56.38M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/inmb,
IPHA,Innate Pharma S.A.,6.183,$487.71M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/ipha,
INWK,"InnerWorkings, Inc.",1.46,$76.46M,2006,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/inwk,
INOD,Innodata Inc.,1.245,$30.45M,1993,Technology,EDP Services,https://old.nasdaq.com/symbol/inod,
IOSP,Innospec Inc.,75.42,$1.85B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/iosp,
ISSC,"Innovative Solutions and Support, Inc.",4.91,$83.39M,2000,Technology,EDP Services,https://old.nasdaq.com/symbol/issc,
INVA,"Innoviva, Inc.",13.195,$1.34B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/inva,
INGN,"Inogen, Inc",32.855,$724.37M,2014,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ingn,
INOV,"Inovalon Holdings, Inc.",18.075,$2.81B,2015,Technology,EDP Services,https://old.nasdaq.com/symbol/inov,
INO,"Inovio Pharmaceuticals, Inc.",13.02,$2.06B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/ino,
INPX,Inpixon ,1.59,$38.92M,2014,Technology,EDP Services,https://old.nasdaq.com/symbol/inpx,
INSG,Inseego Corp.,9.54,$917.96M,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/insg,
NSIT,"Insight Enterprises, Inc.",49.3,$1.73B,1995,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/nsit,
ISIG,"Insignia Systems, Inc.",0.79,$9.56M,1991,Consumer Services,Advertising,https://old.nasdaq.com/symbol/isig,
INSM,"Insmed, Inc.",27.19,$2.75B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/insm,
INSE,"Inspired Entertainment, Inc.",2.92,$67.22M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/inse,
IIIN,"Insteel Industries, Inc.",16.9,$325.51M,n/a,Capital Goods,Steel/Iron Ore,https://old.nasdaq.com/symbol/iiin,
PODD,Insulet Corporation,180.56,$11.82B,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/podd,
INSU,Insurance Acquisition Corp.,10.13,$209.22M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/insu,
INSUU,Insurance Acquisition Corp.,11,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/insuu,
INSUW,Insurance Acquisition Corp.,1.75,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/insuw,
NTEC,Intec Pharma Ltd.,0.38,$26.32M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ntec,
IART,Integra LifeSciences Holdings Corporation,48.36,$4.1B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/iart,
IMTE,Integrated Media Technology Limited,3.8594,$13.03M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/imte,
INTC,Intel Corporation,59.33,$251.2B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/intc,
NTLA,"Intellia Therapeutics, Inc.",19.34,$1.13B,2016,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/ntla,
