userId,stockSymbol,stockName,fairValue,investmentName,starRating,analystRating,Date,comment
hankmoody789,TXG,10x Genomics Inc Ordinary Shares - Class A,60.2,-,-,-,2020-06-22,
hankmoody789,YI,111 Inc 1 ADR represents 2 Class Common stocks,7.7,-,-,-,2020-06-22,
hankmoody789,PIH,1347 Property Insurance Holdings Inc,4.88,-,-,-,2020-06-22,
hankmoody789,PIHPP,1347 Property Insurance Holdings Inc Pref Share,27.26,-,-,-,2020-06-22,
hankmoody789,TURN,180 Degree Capital Corp,2.51,-,-,-,2020-06-22,
hankmoody789,FLWS,1-800-Flowers.com Inc Class A,20.9,-,-,-,2020-06-22,
hankmoody789,BCOW,1895 Bancorp of Wisconsin Inc Ordinary Shares,10.8,-,-,-,2020-06-22,
hankmoody789,ONEM,1Life Healthcare Inc Ordinary Shares,27.9,-,-,-,2020-06-22,
hankmoody789,FCCY,1st Constitution Bancorp,16.4,-,-,-,2020-06-22,
hankmoody789,SRCE,1st Source Corp,39.43,-,-,-,2020-06-22,
hankmoody789,VNET,21Vianet Group Inc ADR,18.36,-,-,-,2020-06-22,
hankmoody789,TWOU,2U Inc,41.31,-,-,-,2020-06-22,
hankmoody789,QFIN,360 Finance Inc ADR,11.79,-,-,-,2020-06-22,
hankmoody789,KRKR,36KR Holdings Inc ADR,6.91,-,-,-,2020-06-22,
hankmoody789,JOBS,51job Inc ADR,67.95,-,-,-,2020-06-22,
hankmoody789,ETNB,89bio Inc Ordinary Shares,25.23,-,-,-,2020-06-22,
hankmoody789,JFK,8i Enterprises Acquisition Corp,10.61,-,-,-,2020-06-22,
hankmoody789,JFKKR,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,,-,—,-,-,-,2020-06-22,
hankmoody789,JFKKW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,EGHT,8x8 Inc,17,-,-,-,2020-06-22,
hankmoody789,NMTR,9 Meters Biopharma Inc,0.59,-,-,-,2020-06-22,
hankmoody789,JFU,9F Inc ADR,9.84,-,-,-,2020-06-22,
hankmoody789,AAON,AAON Inc,41.63,-,-,-,2020-06-22,
hankmoody789,ABEO,Abeona Therapeutics Inc,4.41,-,-,-,2020-06-22,
hankmoody789,ABMD,Abiomed Inc,193.18,-,-,-,2020-06-22,
hankmoody789,AXAS,Abraxas Petroleum Corp,0.45,-,-,-,2020-06-22,
hankmoody789,ACIU,AC Immune SA,8.78,-,-,-,2020-06-22,
hankmoody789,ACIA,Acacia Communications Inc,61.02,-,-,-,2020-06-22,
hankmoody789,ACTG,Acacia Research Corp,4.35,-,-,-,2020-06-22,
hankmoody789,ACHC,Acadia Healthcare Co Inc,37.46,-,-,-,2020-06-22,
